,timestamp,tweet,keywords
1030,2022-10-03 05:51:20,"@PythonWithRune It's a part of multiple programs.
Here is the link --&gt;
https://t.co/KbGuT5JW0L",Python
1033,2022-09-03 16:31:10,"Day 65 - #66DaysOfData
Today I completed fifth week tasks in Python for Data Science , AI &amp; Development IBM course… https://t.co/EYEUDnaY8d",Python
1039,2022-09-03 15:22:53,Hi! I'm really excited to share with you all my today's achievement. I obtained my @IBM certificate 'Python for Dat… https://t.co/QEeJZS0BeF,Python
1042,2022-08-03 15:50:49,"Day 64 - #66DaysOfData
I learned a simple Introduction to API with PyCoinGecko python wrapper, Watson Speech to tex… https://t.co/O3PvkC4qMJ",Python
1044,2022-07-03 15:51:38,"Day 63 - #66DaysOfData
Today I did Pandas exercises with IBM Studio, 1D and 2D Numpy exercises in Python for Data S… https://t.co/9ea1q9n4Vd",Python
1045,2022-06-03 16:12:15,"Day 62 - #66DaysOfData
Today I did exercises on Reading and Writing with open in Python for Data Science , AI &amp; Dev… https://t.co/JX5pX9kwI0",Python
1047,2022-04-03 15:47:56,"Day 60 - #66DaysOfData
Today Learned about Functions in Python for Data Science , AI &amp; Development IBM course.  ♥️😊… https://t.co/5Sq1TXe5MI",Python
1049,2022-03-03 14:50:21,"Day 59 - #66DaysOfData
Today I learned about Loops in Python for Data Science , AI &amp; Development IBM course.  ♥️😊… https://t.co/K64Ij4eaTU",Python
1050,2022-02-03 14:32:22,"Day 58 - #66DaysOfData
Today I learned about Conditions and Branching in Python for Data Science , AI &amp; Development… https://t.co/tPrfhdwLUU",Python
1051,2022-01-03 15:26:42,"Day 57 -  #66DaysOfData
Completed week two tasks in Python for Data Science , AI &amp; Development IBM course. There we… https://t.co/95ewEMtul4",Python
1052,2022-28-02 16:23:08,"Day 56 -  #66DaysOfData
Today I started Python for Data Science , AI &amp; Development IBM course and completed week on… https://t.co/sde9rbAUiT",Python
1099,2022-05-02 15:09:43,"Day 33 -  #66DaysOfData
I'm reaching to end of the freeCodeCamp Scientific Computing with Python Certification task… https://t.co/yikrnWJ2Tq",Python
1102,2022-05-02 03:18:28,@driscollis Python guided projects for all levels 😅,Python
1103,2022-04-02 16:10:26,"Day 32 -  #66DaysOfData
Today I could complete another 4 parts related to Relational Databases of Python for Everyb… https://t.co/h6FZQmVTgv",Python
1106,2022-03-02 15:34:44,"Day 31 -  #66DaysOfData
- Read 171 - 174 pages of the data science book ' Build a career in Data Science'.
- Python… https://t.co/WmXydaekNL",Python
1117,2022-30-01 16:44:07,"Day 27 -  #66DaysOfData

☑️ Web Services : API Rate Limiting and Security in Python FreeCodeCamp certification. 

E… https://t.co/Jh9o5ju4v9",Python
1124,2022-27-01 15:37:11,"☑️ Networking : Web Scraping with Python 

#datascience #python #career #networking",Python
1128,2022-25-01 14:42:22,"Day 22 -  #66DaysOfData

- Read 143 - 146 pages of the book ' Build a career in Data Science'.

- Python for Everyb… https://t.co/sP7Q9lvYy0",Python
1141,2022-18-01 16:05:47,"Day 15 -  #66DaysOfData

- Python for Everybody freeCodeCamp certification 
      ☑️ Strings in Python 
      ☑️ In… https://t.co/v68IPUCvY3",Python
